Date,Ngorongoro,Serengeti
01/01/2002,1,1
01/02/2002,0,3
01/03/2002,3,0
01/04/2002,1,1
01/05/2002,0,2
01/06/2002,1,2
01/07/2002,1,0
01/08/2002,0,0
01/09/2002,3,2
01/10/2002,2,0
01/11/2002,1,4
01/12/2002,0,1
01/01/2003,0,3
01/02/2003,0,10
01/03/2003,2,14
01/04/2003,4,5
01/05/2003,1,4
01/06/2003,5,10
01/07/2003,8,21
01/08/2003,8,33
01/09/2003,8,31
01/10/2003,7,21
01/11/2003,11,17
01/12/2003,21,44
