Year,TeamA,TeamB,GameType,Home,goalA,goalB,ExtraInfo
2012,Poland,Greece,Group stage,A,1,1,
2012,Russia,Czech Republic,Group stage,,4,1,
2012,Netherlands,Denmark,Group stage,,0,1,
2012,Germany,Portugal,Group stage,,1,0,
2012,Spain,Italy,Group stage,,1,1,
2012,Republic of Ireland,Croatia,Group stage,,1,3,
2012,France,England,Group stage,,1,1,
2012,Ukraine,Sweden,Group stage,A,2,1,
2012,Greece,Czech Republic,Group stage,,1,2,
2012,Poland,Russia,Group stage,A,1,1,
2012,Denmark,Portugal,Group stage,,2,3,
2012,Netherlands,Germany,Group stage,,1,2,
2012,Italy,Croatia,Group stage,,1,1,
2012,Spain,Republic of Ireland,Group stage,,4,0,
2012,Ukraine,France,Group stage,A,0,2,
2012,Sweden,England,Group stage,,2,3,
2012,Czech Republic,Poland,Group stage,B,1,0,
2012,Greece,Russia,Group stage,,1,0,
2012,Denmark,Germany,Group stage,,1,2,
2012,Portugal,Netherlands,Group stage,,2,1,
2012,Italy,Republic of Ireland,Group stage,,2,0,
2012,Croatia,Spain,Group stage,,0,1,
2012,Sweden,France,Group stage,,2,0,
2012,England,Ukraine,Group stage,B,1,0,
2012,Czech Republic,Portugal,Quarter-finals,,0,1,
2012,Germany,Greece,Quarter-finals,,4,2,
2012,Spain,France,Quarter-finals,,2,0,
2012,England,Italy,Quarter-finals,,0,0,ET (0:0) PENS (2:4)
2012,Portugal,Spain,Semi-finals,,0,0,ET (0:0) PENS (2:4)
2012,Germany,Italy,Semi-finals,,1,2,
2012,Spain,Italy,Final,,4,0,
2016,France,Romania,Group stage,A,2,1,
2016,Albania,Switzerland,Group stage,,0,1,
2016,Wales,Slovakia,Group stage,,2,1,
2016,England,Russia,Group stage,,1,1,
2016,Turkey,Croatia,Group stage,,0,1,
2016,Poland,Northern Ireland,Group stage,,1,0,
2016,Germany,Ukraine,Group stage,,2,0,
2016,Spain,Czech Republic,Group stage,,1,0,
2016,Republic of Ireland,Sweden,Group stage,,1,1,
2016,Belgium,Italy,Group stage,,0,2,
2016,Austria,Hungary,Group stage,,0,2,
2016,Portugal,Iceland,Group stage,,1,1,
2016,Russia,Slovakia,Group stage,,1,2,
2016,Romania,Switzerland,Group stage,,1,1,
2016,France,Albania,Group stage,A,2,0,
2016,England,Wales,Group stage,,2,1,
2016,Ukraine,Northern Ireland,Group stage,,0,2,
2016,Germany,Poland,Group stage,,0,0,
2016,Italy,Sweden,Group stage,,1,0,
2016,Czech Republic,Croatia,Group stage,,2,2,
2016,Spain,Turkey,Group stage,,3,0,
2016,Belgium,Republic of Ireland,Group stage,,3,0,
2016,Iceland,Hungary,Group stage,,1,1,
2016,Portugal,Austria,Group stage,,0,0,
2016,Switzerland,France,Group stage,B,0,0,
2016,Romania,Albania,Group stage,,0,1,
2016,Russia,Wales,Group stage,,0,3,
2016,Slovakia,England,Group stage,,0,0,
2016,Ukraine,Poland,Group stage,,0,1,
2016,Northern Ireland,Germany,Group stage,,0,1,
